udise_code,school_name,state,district,block,location_type,management_type,category,total_students,total_teachers,total_classrooms,boys_toilets,girls_toilets,drinking_water_flag,electricity_flag,internet_flag,library_flag,desktops,laptops,playground_flag,furniture_flag,ramps_flag,solar_panel_flag,rainwater_flag,classes_from,classes_to,ptr,computers_total,toilets_total,students_per_class,toilets_per_100_students,computers_per_100_students,school_level,is_urban,is_rural,ptr_compliant,toilets_compliant,computers_compliant,water_compliant,electricity_compliant,internet_compliant,overall_compliance_score,infrastructure_need_score,ptr_squared,ptr_log,student_density,infrastructure_density,ptr_toilet_interaction,ptr_computer_interaction,state_encoded,district_encoded,block_encoded,location_type_encoded,management_type_encoded,category_encoded,school_level_encoded
UDISE000024,School 24,Tamil Nadu,Central,Block B,Urban,Government,Primary,1255,50,31,3,8,True,True,False,False,10,14,False,False,False,False,False,6,8,25.1,24,11,40.483870967741936,0.8764940239043826,1.9123505976095616,upper_primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,630.0100000000001,3.261935314328648,39.21875,0.052547770700636945,25.1,25.1,3,0,1,1,1,1,3
UDISE000046,School 46,Tamil Nadu,South,Block C,Urban,Private,Higher Secondary,436,63,10,5,7,False,True,True,True,19,6,True,False,False,False,True,6,8,6.920634920634921,25,12,43.6,2.7522935779816518,5.73394495412844,upper_primary,True,False,True,True,True,False,True,True,0.8333333333333334,0.16666666666666663,47.89518770471152,2.069471369359986,39.63636363636363,0.10755148741418764,0.0,0.0,3,3,2,1,2,0,3
UDISE000020,School 20,Karnataka,West,Block C,Rural,Aided,Secondary,1488,81,32,5,4,False,True,True,True,2,0,True,True,True,False,False,6,5,18.37037037037037,2,9,46.5,0.6048387096774194,0.13440860215053765,upper_primary,False,True,True,False,False,False,True,True,0.5,0.5,337.4705075445816,2.9637445980605936,45.09090909090909,0.02887844190732035,18.37037037037037,18.37037037037037,1,4,2,0,0,2,3
UDISE000009,School 9,Karnataka,West,Block B,Urban,Private,Higher Secondary,1415,54,40,5,3,True,True,True,False,16,8,True,False,True,False,False,1,12,26.203703703703702,24,8,35.375,0.5653710247349824,1.6961130742049468,higher_secondary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,686.6340877914952,3.303353129609603,34.51219512195122,0.05084745762711865,26.203703703703702,26.203703703703702,1,4,1,1,2,0,0
UDISE000066,School 66,Maharashtra,West,Block C,Rural,Private,Higher Secondary,1222,78,3,7,5,True,True,False,False,17,8,True,True,False,True,False,9,12,15.666666666666666,25,12,407.3333333333333,0.9819967266775778,2.0458265139116203,higher_secondary,False,True,True,False,False,True,True,False,0.5,0.5,245.44444444444443,2.8134107167600364,305.5,0.032706459525756335,15.666666666666666,15.666666666666666,2,4,2,0,2,0,0
UDISE000083,School 83,Delhi,East,Block A,Rural,Government,Secondary,1216,76,45,5,3,True,True,False,True,13,14,True,True,True,False,False,6,5,16.0,27,8,27.022222222222222,0.6578947368421052,2.2203947368421053,upper_primary,False,True,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,256.0,2.833213344056216,26.434782608695652,0.0657354149548069,16.0,16.0,0,1,0,0,1,2,3
UDISE000052,School 52,Maharashtra,Central,Block A,Urban,Government,Primary,1442,25,34,4,6,True,True,True,True,15,9,False,True,False,False,False,9,5,57.68,24,10,42.411764705882355,0.6934812760055479,1.6643550624133148,secondary,True,False,False,False,False,True,True,True,0.5,0.5,3326.9824,4.072098953274781,41.2,0.04712404712404712,57.68,57.68,2,0,0,1,1,1,2
UDISE000055,School 55,Karnataka,South,Block C,Urban,Private,Higher Secondary,978,96,31,6,0,True,True,True,True,5,1,True,True,False,False,False,1,8,10.1875,6,6,31.548387096774192,0.6134969325153374,0.6134969325153374,upper_primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,103.78515625,2.414797083600974,30.5625,0.043922369765066395,10.1875,10.1875,1,3,2,1,2,0,3
UDISE000019,School 19,Tamil Nadu,Central,Block A,Urban,Government,Primary,1325,88,17,6,0,True,True,False,False,3,8,True,False,False,True,True,6,5,15.056818181818182,11,6,77.94117647058823,0.4528301886792453,0.8301886792452831,upper_primary,True,False,True,False,False,True,True,True,0.6666666666666666,0.33333333333333337,226.70777376033058,2.776133568206321,73.61111111111111,0.02564102564102564,15.056818181818182,15.056818181818182,3,0,0,1,1,1,3
UDISE000006,School 6,Tamil Nadu,East,Block B,Rural,Aided,Secondary,1569,12,41,6,1,False,True,True,True,3,5,False,False,True,True,False,6,12,130.75,8,7,38.26829268292683,0.44614404079031234,0.5098789037603569,higher_secondary,False,True,False,False,False,False,True,True,0.3333333333333333,0.6666666666666667,17095.5625,4.880906187421472,37.357142857142854,0.035668789808917196,130.75,130.75,3,1,1,0,0,2,0
